ID,League,Player,Team,Minutes,Goals,NPG,NPG/90,xG,NPxG,NPxG/90,NPxG Overperf,NP Shots,NP Shot Qual,NP Fin Ratio
792239,Poland,Jan Grzesik,Radomiak Radom,2082,6,6,0.26,2.11,2.11,0.09,3.89,22,0.1,0.27
1000170,Scotland,Zachary Sapsford,Dundee United,2122,6,6,0.25,7.19,6.4,0.27,-0.4,58,0.11,0.1
966575,Portugal,Rodrigo Zalazar,Sporting Braga,1717,14,5,0.26,11.01,3.9,0.2,1.1,54,0.07,0.09
325121,Czechia,Lukáš Haraslín,AC Sparta Praha,1320,10,5,0.34,7.68,3.73,0.25,1.27,53,0.07,0.09
984989,Denmark,Kristian Arnstad,AGF,1728,9,5,0.26,8.77,4.82,0.25,0.18,47,0.1,0.11
591588,Austria,Johannes Eggestein,FK Austria Wien,1797,9,5,0.25,5.33,2.17,0.11,2.83,30,0.07,0.17
798206,Austria,Valentino Müller,WSG Tirol,1890,9,5,0.24,6.66,2.71,0.13,2.29,25,0.11,0.2
111129,Poland,Łukasz Sekulski,Wisła Płock,1517,8,5,0.3,8.11,4.95,0.29,0.05,31,0.16,0.16
1047536,Belgium,Bruny Nsimba,FCV Dender,1726,8,5,0.26,9.08,6.71,0.35,-1.71,51,0.13,0.1
797980,Scotland,Jamie McGrath,Hibernian,1924,8,5,0.23,5.33,2.17,0.1,2.83,31,0.07,0.16
1113414,Czechia,Dávid Krčík,FC Viktoria Plzeň,2160,8,5,0.21,4.92,2.55,0.11,2.45,19,0.13,0.26
187437,Turkey,Davie Selke,Başakşehir FK,854,7,5,0.53,4.64,3.06,0.32,1.94,15,0.2,0.33
1022491,Belgium,Raul Florucz,Royale Union Saint-Gilloise,1105,7,5,0.41,6.53,4.95,0.4,0.05,37,0.13,0.14
1090061,Czechia,Matyáš Vojta,AC Sparta Praha,1356,7,5,0.33,6.98,5.4,0.36,-0.4,25,0.22,0.2
845344,Belgium,Daan Heymans,KRC Genk,1474,7,5,0.31,3.97,2.39,0.15,2.61,30,0.08,0.17
943176,Greece,Julián Bartolo,Asteras Aktor,1570,7,5,0.29,6.01,4.43,0.25,0.57,30,0.15,0.17
826026,Croatia,Sandro Kulenović,GNK Dinamo Zagreb,506,6,5,0.89,4.45,2.87,0.51,2.13,19,0.15,0.26
1639250,Portugal,William Gomes,FC Porto,900,6,5,0.5,4.35,3.56,0.36,1.44,32,0.11,0.16
794277,Poland,Dawid Błanik,MKS Korona Kielce,1178,6,5,0.38,4.18,2.6,0.2,2.4,31,0.08,0.16
204562,Greece,Taxiarchis Fountas,OFI Crete,1245,6,5,0.36,4.58,3.79,0.27,1.21,26,0.15,0.19
55314,Croatia,Ilija Nestorovski,NK Slaven Belupo,1532,6,5,0.29,8.24,6.66,0.39,-1.66,59,0.11,0.08
802281,Scotland,Kevin Nisbet,Aberdeen,1534,6,5,0.29,6.31,5.52,0.32,-0.52,44,0.13,0.11
1152366,Denmark,Christian Gammelgaard,Vejle,1631,6,5,0.28,4.52,3.73,0.21,1.27,40,0.09,0.12
33689,Poland,Kamil Grosicki,Pogoń Szczecin,1901,6,5,0.24,7.52,5.94,0.28,-0.94,62,0.1,0.08
1050373,Croatia,Robin González,HNK Vukovar 1991,2011,6,5,0.22,4.98,3.4,0.15,1.6,32,0.11,0.16
